,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href formula,Case Number.2
4963,13-Jun-1933,1933,Invalid,AUSTRALIA,Northern Territory,Darwin,Fishing,M,0,"No injury, ""shark chased him ashore""",0,0,Invalid,"V.M. Coppleson (1962), p.245",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.06.13-Chinese-fisherman.pdf,1933.06.13
4964,24-May-1933,1933,Sea Disaster,BARBADOS,St Michael Parish,Off Pelican Island,Yacht of Michael Howell capsized,0,0,"5 survived  & 4 perished, but shark involvement not confirmed",Y,0,0,"New York Times 5/26/1933; L. Schultz & M. Malin, p.558; SAF Case #931",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.05.24-yacht-Barbados.pdf,1933.05.24
4965,23-May-1933,1933,Provoked,AUSTRALIA,Queensland,Off Stradbroke Island,Fishing,M,0,Laceration to lower leg by netted shark PROVOKED INCIDENT,N,0,7' to 8' shark,"Brisbane Courier, 5/24/1933",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.05.23-Port.pdf,1933.05.23
4966,Reported 08-Jun-1933,1933,Unprovoked,AUSTRALIA,Queensland,Currumbin,Treading water,M,0,Lacerations to legs from fins of shark,N,0,0,"Townsville Daily Bulletin, 6/9/1933 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.06.08-Mitchell.pdf,1933.06.08.R
4967,03-May-1933,1933,Sea Disaster,CUBA,Havana Province,"Off Jaimanitas Yacht Club, Havana",Swimming to shore from capsized sailboat,M,0,FATAL,Y,0,0,"NY Times, May 4, 1933",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.05.03-sailor_cuba.pdf,1933.05.03
4968,10-Apr-1933,1933,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,M,24,FATAL,Y,0,Possibly a bull shark or tiger shark,"New York Herald Tribune, 4/12/1933",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.04.10-Martin.pdf,1933.04.10
4969,26-Feb-1933,1933,Unprovoked,AUSTRALIA,New South Wales,Sydney,Standing on his hands,M,0,Abrasions to legs,N,0,10' shark,"Townsville Daily Bulletin, 2/27/1933",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.02.26-McCann.pdf,1933.02.26
4970,Reported 15-Feb-1933,1933,Unprovoked,AUSTRALIA,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",Diving for trochus  from dinghy when seized by shark 6' below the surface,M,0,"Injuries to arm, shoulder & chest, took 2 days to reach hospital",N,0,4.4 m [14'] shark,"La Crosse Tribune And Leader-Press, 5/15/1933; V.M. Coppleson.Q12. (1933); V.M. Coppleson, p.242",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.02.15.R-Tumia.pdf,1933.02.15.R
4971,14-Feb-1933,1933,Boat,AUSTRALIA,South Australia,Adelaide,0,0,0,No injury to occupants. Shark leapt into boat during sailing races,N,0,0,"G.P. Whitley citing Sydney Morning Herald, 2/16/1933",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.02.14-Shark-leaps-in-boat.pdf,1933.02.14
4972,12-Feb-1933,1933,Provoked,AUSTRALIA,South Australia,"Port River, Adelaide",Fishing,M,0,Forearm injured by hooked shark PROVOKED INCIDENT,N,0,Blue shark,"The Advertiser, 2/13/1933",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.02.12-Jukes.pdf,1933.02.12
4973,04-Jan-1933,1933,Unprovoked,AUSTRALIA,Queensland,"Strand Beach, Kissing Point, Townsville",Swimming,M,38,Severe abdominal wounds FATAL (Note: 14 days earlier a dog was bitten in two by a large shark),Y,17h30,0,"V. M. Coppleson.Q11. (1933); V.M. Coppleson (1958), pp.90 & 238",http://sharkattackfile.net/spreadsheets/pdf_directory/1933.01.04-Locksley.pdf,1933.01.04
4974,Reported 11-Dec-1932,1932,Unprovoked,AUSTRALIA,Northern Territory,Arnhem Land,0,M,0,Leg bitten,N,0,0,"Sunday Times (Perth), 12/11/1932 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.12.11-ArnhemLand.pdf,1932.12.11.R
4975,Reported 09-Dec-1932,1932,Provoked,NEW ZEALAND,North Island,Mahurangi River Mouth,Fishing ,M,0,Laceration to hand  PROVOKED INCIDENT,N,0,0,"New Zealand Herald, 12/9/1932",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.12.09-Brasting.pdf,1932.12.09.R
4976,08-Nov-1932,1932,Sea Disaster,CUBA,0,0,Hurricane & Tidal Wave,0,0,0,UNKNOWN,0,0,"Barrier Miner, 11/14/1932",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.11.09-Hurricane-Cuba.pdf,1932.11.09
4977,31-Oct-1932,1932,Unprovoked,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Swimming,M,24,"Torso bitten with pneumothorax, slight lacerations on left hand",N,11h00,Thought to involve a mako or grey nurse shark,"V.M. Coppleson.N19. (1933); V.M. Coppleson (1958), pp.80 & 232",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.10.31-Ogilvie.pdf,1932.10.31
4978,11-Oct-1932,1932,Unprovoked,CAPE VERDE,Barlavento Islands,São Vicente ,Swimming,M,27,FATAL,Y,0,0,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.10.11-Ruck.pdf,1932.10.11
4979,Reported 26-Sep-1932,1932,Unprovoked,FIJI,Viti Levu Island,Navua,Catching a turtle,M,0,Left arm severely bitten,N,0,0,"Queensland Times, 9/26/1932",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.09.26.R-Fiji.pdf,1932.09.26.R
4980,30-Aug-1932,1932,Provoked,AUSTRALIA,New South Wales,Bondi,0,M,0,Hand bitten by landed shark PROVOKED INCIDENT,N,0,0,G.P. Whitley,http://sharkattackfile.net/spreadsheets/pdf_directory/1932.08.30.b-male-Bondi.pdf,1932.08.30.b
4981,30-Aug-1932,1932,Provoked,AUSTRALIA,New South Wales,Newcastle,0,M,0,Bitten by landed shark PROVOKED INCIDENT,N,0,0,"G.P. Whitley; J. Green, p.32",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.08.30.a-Bennett.pdf,1932.08.30.a
4982,10-Aug-1932,1932,Provoked,USA,New Jersey,"Offshore, between Mantoloking & Point Pleasant, Ocean County",Fishing,M,0,Hooked shark gashed right leg      PROVOKED INCIDENT,N,0,16' 800-lb shark,"Lime Springs Herald, 9/22/1932; R. Heyer",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.08.10-Olsen.pdf,1932.08.10
4983,09-Aug-1932,1932,Unprovoked,AUSTRALIA,Torres Strait,0,Pearl diving,M,0,Bitten on buttock & leg,N,0,0,"J. Green, p.32; V.M. Coppleson (1958), p.242",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.08.09-JackGiblett.pdf,1932.08.09
4984,06-Aug-1932,1932,Provoked,BAHAMAS,New Providence District,"Nassau, New Providence Island",On expedition filming a feature movie & standing on tripod,M,18,"No injury, hooked shark rammed tripod PROVOKED INCIDENT",N,0,0,"New York Times, 8/7/1932 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.08.06-Vanderbilt.pdf,1932.08.06
4985,Reported 14-Jul-1932,1932,Invalid,USA,Texas,Galveston,0,M,17,Body recovered  from 9' shark but death due to shark bite was not confirmed,0,0,Shark involvement prior to death unconfirmed,IGFA,http://sharkattackfile.net/spreadsheets/pdf_directory/1932.07.14.R-Galveston.pdf,1932.07.14.R
4986,02-Jul-1932,1932,Boat,CANADA,Bay of Fundy,16 km west of Digby Gut,"Fishing, hauling in fishing gear",M,0,"No injury to occupants, shark bumped boat repeatedly",N,0,Teeth in hull identified as those from a white shark 4.6 m [15'] in length,Piers (1933),http://sharkattackfile.net/spreadsheets/pdf_directory/1932.07.02-Bay-of-Fundy.pdf,1932.07.02
4987,28-Jun-1932,1932,Provoked,USA,New Jersey,"10 miles offshore from Sea Isle City, Cape May County",Fishing,M,32,Knee bitten by boated shark PROVOKED INCIDENT,N,0,"250-lb ""dog shark""","NY Times, 6/29/1932 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.06.28-Fonzzo.pdf,1932.06.28
4988,26-Jun-1932,1932,Provoked,USA,New Jersey,"Off Ocean City, Cape May County",Fishing,M,0,Ankle broken when 500-lb boated shark lashed him with its tail PROVOKED INCIDENT,N,0,0,"NY Times, 6/29/1932 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.06.26-Giacomo.pdf,1932.06.26
4989,20-Jun-1932,1932,Unprovoked,FIJI,Yasawa Islands,Nabukeru ,Free diving with goggles,F,0,FATAL,Y,0,0,"V.M. Coppleson (1958), p.259",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.06.20-Asena.pdf,1932.06.20
4990,12-May-1932,1932,Unprovoked,AUSTRALIA,Torres Strait,Near Warrior Reefs,Pearl diving,M,0,FATAL,Y,0,0,"V.M. Coppleson (1958), p242",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.05.12-HenrySolomon.pdf,1932.05.12
4991,May 1932,1932,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,0,Severe injury to forearm near elbow,N,0,0,"J. Green, p.32; V.M. Coppleson (1958), p.242",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.05.00-Nishi.pdf,1932.05.00
4992,16-Apr-1932,1932,Unprovoked,PHILIPPINES,Manila,Fort Mills,Standing,M,0,"FATAL, torso bitten ",Y,0,0,J.F. Corby,http://sharkattackfile.net/spreadsheets/pdf_directory/1932.04.16.b-civilian-male.pdf,1932.04.16.b
4993,16-Apr-1932,1932,Unprovoked,PHILIPPINES,Manila,Fort Mills,Standing,F,0,"FATAL, torso bitten ",Y,0,0,J. F. Corby,http://sharkattackfile.net/spreadsheets/pdf_directory/1932.04.16.a-Philippine-female.pdf,1932.04.16.a
4994,16-Feb-1932,1932,Unprovoked,USA,Hawaii,"1 mile off Mala Wharf, Lahaina, Maui",Swimming,M,0,Two 6-inch lacerations,N,0,0,"San Antonio Light (San Antonio, Texas), 2/17/1932; J. Borg, p.71",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.02.16-WilliamFrance.pdf,1932.02.16
4995,13-Feb-1932,1932,Unprovoked,AUSTRALIA,Queensland,Calliope River,Fishing with dynamite,M,0,Foot bitten,N,0,0,"Morning Bulletin, 6/5/1932",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.02.13-Beck.pdf,1932.02.13
4996,08-Feb-1932,1932,Unprovoked,PHILIPPINES,Manila,Fort Mills,Working near fish traps,M,0,"FATAL, died next day at 03h00",Y,0,0,J.F. Corby,http://sharkattackfile.net/spreadsheets/pdf_directory/1932.02.08-PhilippineSoldier.pdf,1932.02.08
4997,27-Jan-1932,1932,Unprovoked,AUSTRALIA,Queensland,Ipswich,Swimming,M,0,Thigh bitten,N,Afternoon,A small shark,"Brisbane Courier, 1/28/1932",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.01.27-Adams.pdf,1932.01.27
4998,11-Jan-1932,1932,Boat,AUSTRALIA,Victoria,Frankston,Fishing,0,0,No details,UNKNOWN,0,Grey nurse shark,G.P. Whitley citing Herald (Melbourne) 1/12/1932 ,http://sharkattackfile.net/spreadsheets/pdf_directory/1932.01.11-boatFrankston.pdf,1932.01.11
4999,06-Jan-1932,1932,Provoked,MEXICO,Baja California,Descano Point,Fishing,M,36 & 23,Hooked shark capsized rowboat & the 2 men were drowned PROVOKED INCIDENT,Y,0,0,"NY Herald Tribune, 1/8/1933 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.01.06-BajaFishermen.pdf,1932.01.06
5000,1932,1932,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Kowie River Mouth, Port Alfred",Collecting fish by lamplight in gully,M,23,"Right shin, calf and sole of foot lacerated",N,After dusk,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5'] ","R. Samuels, K. Reynolds & M. Levine, GSAF ",http://sharkattackfile.net/spreadsheets/pdf_directory/1932.00.00-Samuels.pdf,1932.00.00
5001,26-Nov-1931,1931,Unprovoked,AUSTRALIA,Torres Strait,Barrier Reef near Innisfail,Diving for trochus from lugger,M,45,Left foot acerated,N,0,4 m [13'] shark,"The Argus, 11/28/1931; /V.M. Coppleson.Q10. (1933) ",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.11.26-Mainlander.pdf,1931.11.26
5002,27-Sep-1931,1931,Unprovoked,JAMAICA,0,"East Beach, Kingsston",Diving off wharf,M,Teen,FATAL,Y,12h00,0,"The Gleaner, 9/29/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.09.27-Gibbs.pdf,1931.09.27
5003,21-Sep-1931,1931,Unprovoked,USA,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming,M,0,Minor injury,N,0,0,"L. Schultz & M. Malin, p.534",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.09.21.a-b-Holaday-Barrows.pdf,1931.09.21.b
5004,21-Sep-1931,1931,Unprovoked,USA,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",Swimming ,F,20,Right thigh & calf lacerated,N,0,"Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows","E.W. Gudger (1937); V.M. Coppleson (1958), p.252; R. Skocik, pp.174-175",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.09.21.a-b-Holaday-Barrows.pdf,1931.09.21.a
5005,02-Sep-1931,1931,Invalid,USA,Hawaii,"Kahala, O'ahu",Fishing,M,0,"Swept out to sea by strong currents, his remains found in a 5.5m shark caught off Barber’s Point",0,0,Shark involvement prior to death unconfirmed,"G.H. Balazs & A.K.H. Kam; J. Borg, p.71; L. Taylor (1993), pp.96-97",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.09.02-Gaspar.pdf,1931.09.02
5006,31-Aug-1931,1931,Unprovoked,CUBA,Havana Province,"Vedado Baths, Miramar, Havana",Swimming,M,18,FATAL  (Wire netting installed at local beaches after this incident.),Y,FATAL  (Wire netting installed at local beaches after this incident.),0,"NYTimes, 9/2/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.31-Romero.pdf,1931.08.31
5007,30-Aug-1931,1931,Invalid,USA,Hawaii,0,0,M,0,"""Mysteriously disappeared"" His body was found in an 18', 750-lb shark caught at Barber's Point on 01-Sep-1931",0,0,Shark involvement prior to death unconfirmed,"Middlesboro Daily News, 9//2/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.30-Nakatus.pdf,1931.08.30
5008,27-Aug-1931,1931,Boat,USA,New Jersey,"1 mile ESE of Navesink, Monmouth County",Fishing for bluefish,0,0,No injury to occupants. Shark chasing fish struck boat,N,0,0,Press clipping dated 8/28/1931 ,http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.27-NaveskinShrewsbury.pdf,1931.08.27
5009,25-Aug-1931,1931,Unprovoked,CUBA,Havana Province,"Miramar subdivision, Havana",Swimming a quarter mile offshore,M,23,"FATAL, right leg bitten ",Y,0,0,"New York Times, 8/27/1931, p.7; V.M. Coppleson (1962), p.246",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.25-Medina.pdf,1931.08.25
5010,23-Aug-1931,1931,Unprovoked,CUBA,Havana Province,"Miramar, Havana",Swimming ,M,0,"FATAL, ""rescuers saw shark trying to drag him under by the leg"" ",Y,0,0,"New York Times, 8/27/1931, p.7; V.M. Coppleson (1958), p.258",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.23-Rodriguez.pdf,1931.08.23
5011,18-Aug-1931,1931,Unprovoked,USA,Texas,Off Brownsville,Swimming,M,0,Minor injury,N,0,0,"Brownsville Herald, 8/19/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.18-Zifflewwiggett.pdf,1931.08.18
5012,Reported 06-Aug-1931,1931,Unprovoked,USA,New Jersey,"Sandy Hook (ocean side), Monmouth County",Swimming,M,0,Survived,N,0,0,"New York Times, 8/6/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.06.R-soldier.pdf,1931.08.06.R
5013,01-Aug-1931,1931,Unprovoked,AUSTRALIA,Queensland,Port Douglas,Fell overboard?,M,0,FATAL,Y,0,0,"Townsville Daily Bulletin, 8/4/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.08.01-Roberts.pdf,1931.08.01
5014,Reported 28-Jul-1931,1931,Unprovoked,FIJI,Viti Levu Island,Tamavua River,Swimming,M,0,Multiple injuries ,N,0,small sharks,"Sydney Morning Herald, 8/12/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.07.28.R-Narnak.pdf,1931.07.28.R
5015,15-Jul-1931,1931,Unprovoked,USA,New Jersey,"Sea Girt, Monmouth County",Swimming,M,0,Nipped on leg,N,0,0,"Daily Courier, 7/21/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.07.15-SeaGirt.pdf,1931.07.15
5016,14-Jun-1931,1931,Unprovoked,USA,Hawaii,"Pearl Harbor, O'ahu","Fishing, had just speared a ulua",M,0,Survived,N,0,0,"V.M. Coppleson, p.260",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.06.14-male.pdf,1931.06.14
5017,13-Jun-1931,1931,Provoked,USA,Hawaii,"Pearl Harbor, O'ahu",Gaffing & attempting to bring onboard a harpooned shark,M,0,Tip of finger amputated PROVOKED INCIDENT,N,0,"Tiger shark, 3 m [10']","G.H. Balazs; J. Borg, p.70; L. Taylor (1993), pp.96-97",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.06.13-Williamson.pdf,1931.06.13
5018,Reported 04-Jun-1931,1931,Unprovoked,USA,Florida,"Key West, Monroe County ",Crabbing,M,0,Lacerations to fingers,N,0,6' shark,"Key West Citizen, 6/4/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.06.04.R-Johnson.pdf,1931.06.04.R
5019,02-May-1931,1931,Boat,AUSTRALIA,New South Wales,Kempsey,0,0,0,No injury to occupants; oar & rudder bitten,N,0,"""a school of sharks""","Sydney Morning Herald, 6/5/1931; Whitley, p.262",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.05.02-pilot-boat.pdf,1931.05.02
5020,Reported 27-Apr-1931,1931,Unprovoked,0,French Southern Territories,Île Saint-Paul,"Fishing, boat capsized",M,0,FATAL,Y,0,0,"Los Angeles Times, 4/27/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.04.27.R-Quillezic.pdf,1931.04.27.R
5021,22-Mar-1931,1931,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Fishing with a cast net,M,19,"FATAL, left thigh severely bitten ",Y,0,0,"V. M. Coppleson.Q9. (1933); V.M. Coppleson (1958), pp.90 & 238",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.03.22-Tomida.pdf,1931.03.22
5022,16-Mar-1931,1931,Boat,TURKEY,0,"Bakurköy, Istanbul",Fishing,0,0,"No injury to occupants, shark crushed boat",N,0,0,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.03.15-Turkey.pdf,1931.03.15
5023,06-Mar-1931,1931,Provoked,AUSTRALIA,South Australia,Encounter Bay,"Fishing, hauling in net, shark in net",M,0,"Finger lacerated, PROVOKED INCIDENT",N,0,"1.8 m [6'] ""cocktail shark","Whitley, p.262;  V.M. Coppleson (1933)",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.03.06-Ewen.pdf,1931.03.06
5024,10-Feb-1931,1931,Invalid,AUSTRALIA,New South Wales,Maroubra Beach,Swimming ,M,39,Death may have been due to drowning,0,04h00,Shark involvement prior to death unconfirmed,"Examiner, 2/11/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.02.10-Rosenthal.pdf,1931.02.10
5025,24-Jan-1931,1931,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,0,M,0,Recovered,N,0,0,"G.P. Whitley, p.262",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.01.24-ThursdayIsland.pdf,1931.01.24
5026,14-Jan-1931,1931,Unprovoked,AUSTRALIA,Torres Strait,0,Pearl diving,M,0,"Thigh, kneecap & lower leg badly lacerated",N,0,0,"V.M. Coppleson (1958), p.242",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.01.14-Albertus.pdf,1931.01.14
5027,07-Jan-1931,1931,Unprovoked,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",Swimming,M,18,Severe bump & few superficial wounds ,N,16h00,1.5 m [5'] shark,"Canberra Times, 1/9/1931; V.M. Coppleson.Q8. (1933); V.M. Coppleson (1958), pp.91 & 237",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.01.07-Roser.pdf,1931.01.07
5028,1931,1931,Unprovoked,TONGA,Niua ,Niuafo'ou Island ,"Swimming, carrying tin can with mail to steamer",M,0,"FATAL, thereafter canoes were used to carry the mail",Y,0,0,"Clearfield Progress, 5/27/1931",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.00.00.b-Tin-can-mail.pdf,1931.00.00.b
5029,1931,1931,Unprovoked,PAPUA NEW GUINEA,0,0,0,0,0,No details,UNKNOWN,0,0,"V.M. Coppleson, p.49",http://sharkattackfile.net/spreadsheets/pdf_directory/1931.00.00.a-NewGuinea.pdf,1931.00.00.a
5030,25-Dec-1930,1930,Unprovoked,AUSTRALIA,New South Wales,"Homebush Bay, Parramatta River, Sydney",Swimming,M,49,"Bumped by shark, legs abraded",N,14h30,0,"V.M. Coppleson (1933); V.M. Coppleson (1958), pp.44 & 232; A. Sharpe, p.17",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.12.25-Knight.pdf,1930.12.25
5031,13-Dec-1930,1930,Unprovoked,AUSTRALIA,New South Wales,"Sailor Bay, Middle Harbour, Sydney",Fell overboard,M,0,FATAL,Y,0,0,"Northern Standard (Dawin), 12/18/1930",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.12.13-Kenny.pdf,1930.12.13
5032,02-Dec-1930,1930,Boat,AUSTRALIA,Victoria,Rosebud,Fishing,0,0,No injury to occupants; shark seized gunwale & tried to overturn boat,N,0,7 shark's teeth found embedded in the woodwork of the boat,"G.P. Whitley, p.262",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.12.02-dinghy.pdf,1930.12.02
5033,Dec-1930,1930,Unprovoked,AUSTRALIA,New South Wales,Parramata River,0,M,0,FATAL,Y,0,0,"H.D.Baldridge (1994), SAF Case #506",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.12.00-ParamattaRiver.pdf,1930.12.00
5034,30-Nov-1930,1930,Unprovoked,AUSTRALIA,Queensland,"St. Helena Island, Moreton Bay",Thrown into water from fishing dinghy,M,0,Laceration to leg,N,0,0,"Sydney Morning Herald, 12/1/1930 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.11.30-Smith.pdf,1930.11.30
5035,Reported 26-Sep-1930,1930,Unprovoked,HONDURAS,Black River,0,Swimming,M,0,FATAL,Y,0,0,"NY Times, 9/26/1930",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.09.26.R-IndianGuide.pdf,1930.09.26.R
5036,1930,1930,Boat,AZORES,0,0,0,0,0,"No inury to occupants, shark struck boat",N,0,0,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.09.12.R-Azores.pdf,1930.09.12.R
5037,31-Aug-1930,1930,Unprovoked,AUSTRALIA,Western Australia,Geraldton,Fishing,M,17,Minor injury,N,15h30,0,"Geraldton Guardian, 9/2/1930 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.08.31-Burton.pdf,1930.08.31
5038,16-Aug-1930,1930,Unprovoked,SPAIN,Canary Islands,"El Escabonal, Tenerife ",Swimming,M,38,Leg bitten,N,0,0,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1930.08.16-El-Escabonal-CanaryIslands.pdf,1930.08.16
5039,06-Aug-1930,1930,Unprovoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",Swimming,M,0,Lacerations to foot & ankle,N,06h00,0,"Palm Beach Post, 8/7/1930",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.08.06-Kemp.pdf,1930.08.06
5040,19-Jul-1930,1930,Unprovoked,CUBA,Havana Province,"LaPlaya Beach / Vedado, Havana",Swimming,M,29,"Right arm & leg bitten, arm & leg surgically amputated ",N,Evening,0,"NY Times, 7/21/1930, p.7 & 8/27/1931; V.M. Coppleson (1958), p.258",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.07.19-Grenet.pdf,1930.07.19
5041,11-Jul-1930,1930,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,21,Arm lacerated from shoulder to wrist,N,0,Tiger shark,"NY Times, 7/13/1930, Section II, p.1, col.7; R.F. Hutton; V.M. Coppleson (1958), p.252",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.07.11-Harns.pdf,1930.07.11
5042,04-Jun-1930,1930,Unprovoked,AUSTRALIA,Torres Strait,Near Mabuiag Island,0,M,0,FATAL,Y,0,0,"V.M. Coppleson (1958), p.242",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.06.04-Ibigan.pdf,1930.06.04
5043,27-May-1930,1930,Unprovoked,USA,Texas,High Island,Swimming / floating,M,0,Lacerations to arm,N,18h00,0,"Port Arthur News, 5/28/1930",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.05.27-Wattigney.pdf,1930.05.27
5044,Reported 11-May-1930,1930,Boat,TURKEY,0,Ye?ilköy,Fishing,M,0,No injury but shark damaged boat,N,0,0,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.05.11.R-Turkey.pdf,1930.05.11.R
5045,11-May-1930,1930,Invalid,COSTA RICA,Limón Province,Off Porto Limon,Air disaster,0,0,Shark involvement prior to death was not confirmed,0,0,Shark involvement prior to death unconfirmed,"Evening Independent, 5/12/1930",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.05.11-Rovirosa-Sidar.pdf,1930.05.11
5046,08-Apr-1930,1930,Invalid,SOUTH AFRICA,Eastern Cape Province,Bashee River,0,M,17,"Remains of drowning victim recovered from 250-lb female ""blue fin"" shark",0,0,Shark involvement prior to death unconfirmed,Dr. J.A. Du Toit,http://sharkattackfile.net/spreadsheets/pdf_directory/1930.04.08-BasheeRiver.pdf,1930.04.08
5047,Reported 07-Mar-1930,1930,Unprovoked,USA,Florida,70 miles off Tarpon Springs,Sponge diving,M,0,No injury to diver but shark left 3 toothmarks in his helmet,N,0,0,"Evening Independent, 3/7/1930 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.03.07.R-Giglis.pdf,1930.03.07.R
5048,20-Feb-1930,1930,Unprovoked,AUSTRALIA,Torres Strait,0,Pearl diving,M,19,Arm & chest injured,N,0,0,"V.M. Coppleson (1958), p.242 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.02.20-Jerry.pdf,1930.02.20
5049,15-Feb-1930,1930,Unprovoked,AUSTRALIA,Victoria,"Middle Brighton, Port Phillip",Diving off pier & treading water,M,18,FATAL,Y,16h30,White shark 4.9 m [16'] ,"V.M. Coppleson.V2.(1933); V.M. Coppleson (1958), pp.110 & 241; A. MacCormick, p.175; J. West, ASAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.02.15-Clarke.pdf,1930.02.15
5050,Reported 03-Feb-1930,1930,Provoked,AUSTRALIA,Western Australia,Onslow,Removing shark from a trap,M,0,Laceration to thigh from trapped shark PROVOKED INCIDENT,N,0,0,"Geraldton Guardian and Express, 2/3/1930",http://sharkattackfile.net/spreadsheets/pdf_directory/1930.02.03.R-Donovan.pdf,1930.02.03.R
